"","XX","XY","TF.name"
"MA0071.1",45.3324502709651,24.0178572388724,"RORA"
"MA0515.1",0.000473528550567368,174.856216597115,"Sox6"
"MA0599.1",20.0476611502999,5.09629857322868,"KLF5"
"MA0604.1",15.5327090933657,1.15312418883311,"Atf1"
"MA0691.1",15.4087282131291,7.49254509972369,"TFAP4"
"MA0808.1",7.48161593365981,95.7543938124135,"TEAD3"
"MA0158.2",68.5560939669829,0.0370034138565894,"HOXA5"
"MA0912.2",80.3561963468048,0.0307744730302679,"HOXD3"
"MA0079.5",12.6060928620967,2.28785985865919,"SP1"
"MA0509.3",28.1266804919529,1.52500085455301,"RFX1"
"MA0516.3",27.2153422103281,5.77695714722042,"SP2"
"MA1633.2",5.17581256595291,12.486210911774,"BACH1"
"MA2324.1",16.0265303655941,6.48195381814592,"BCL11A"
"MA2338.1",57.5712213008981,98.0067889312124,"Ppara"
"MA0854.2",42.748043255634,4.871380081333e-07,"Alx1"
"MA1632.2",18.1259120590807,8.70764915427739,"ATF2"
"MA0834.2",13.7644394308959,1.56134431531403,"ATF7"
"MA0018.5",15.0941429422759,3.18091011497642,"CREB1"
"MA0609.3",12.919119649293,4.34428446292605,"CREM"
"MA1603.2",0.0935912125366895,23.2431964303401,"Dmrt1"
"MA1707.2",1.81663381587874,61.4778929957044,"DMRTA1"
"MA0886.2",60.2538656784604,0.0711246307334965,"EMX2"
"MA1140.3",16.8405438212229,0.853236527413615,"JUNB"
"MA0593.2",12.6476684131101,18.1278188004276,"FOXP2"
"MA0035.5",33.8635412001498,8.55057762041509,"GATA1"
"MA0037.5",39.5537788442443,19.5220620699219,"Gata3"
"MA0482.3",39.9371180851293,12.4154906091637,"GATA4"
"MA0766.3",45.1983785930437,15.2433098317929,"GATA5"
"MA1104.3",40.5363460406602,20.6094208061786,"GATA6"
"MA0902.3",60.2538656784604,0.0711246307334965,"HOXB2"
"MA0904.3",60.2538656784604,0.0711246307334965,"HOXB5"
"MA1500.2",38.9700210119368,2.26479375154624,"HOXB6"
"MA1501.2",48.3504089259897,3.75933012185669,"HOXB7"
"MA1502.2",38.9700210119368,2.26479375154624,"HOXB8"
"MA1504.2",66.1835670719836,1.24998126500739,"HOXC4"
"MA1507.2",66.1835670719836,1.24998126500739,"HOXD4"
"MA0910.3",38.9700210119368,2.26479375154624,"HOXD8"
"MA0654.2",65.5711678687913,0.000261483436651397,"ISX"
"MA0701.3",90.6314618991361,2.49400435405168e-06,"LHX9"
"MA0702.3",58.8073861169749,0.00058630402072416,"LMX1A"
"MA0666.3",65.5711678687913,0.000261483436651397,"MSX1"
"MA0670.2",9.37486502824943,29.4671480725245,"NFIA"
"MA1643.2",43.8593017814683,59.6226986100729,"NFIB"
"MA0161.3",7.41543099830224,31.9743460775695,"NFIC"
"MA1996.2",55.9056778454197,50.7316427874038,"Nr1H2"
"MA1535.2",43.091862043694,31.974126236749,"NR2C1"
"MA1111.2",73.4382920255876,81.9620655912298,"NR2F2"
"MA1112.3",7.92092019642938,18.0061147391534,"NR4A1"
"MA1540.3",87.0340951602886,123.889554057232,"NR5A1"
"MA1961.2",17.5407634329065,5.29803515273243,"PATZ1"
"MA0716.2",65.5711678687913,0.000261483436651397,"PRRX1"
"MA0510.3",46.8311107383715,2.64672615946417,"RFX5"
"MA0002.3",3.94936293239802,16.9302245017388,"Runx1"
"MA0442.3",0.00794806265727117,196.41074017763,"SOX10"
"MA0869.3",8.5902919520093e-07,154.840425141813,"Sox11"
"MA1120.2",2.33340892321293e-06,161.394182257928,"SOX13"
"MA1152.2",2.41692161234608e-09,179.432835131761,"SOX15"
"MA0867.3",5.29424663691154e-06,196.982872864346,"SOX4"
"MA0087.3",2.43235124486756e-05,175.980284619737,"Sox5"
"MA0868.3",3.55489268885949e-09,75.7022966956998,"SOX8"
"MA0077.2",0,61.8185119611901,"SOX9"
"MA0746.3",15.7874038202974,0.529798767008008,"SP3"
"MA1965.2",16.5890676000942,21.9106858898992,"SP5"
"MA0084.2",0.14895381389172,53.1266660841105,"SRY"
"MA0521.3",28.8454598785686,18.3218449084368,"Tcf12"
"MA0090.4",3.73455311342464,82.2950566303755,"TEAD1"
"MA1121.2",5.98028143973296,106.74029881036,"TEAD2"
"MA1577.2",65.5711678687913,0.000261483436651397,"TLX2"
"MA1970.2",39.5190287850013,20.6405031213939,"TRPS1"
"MA0633.3",28.8454598785686,18.3218449084368,"Twist2"
"MA1627.2",14.951919562423,31.7254516865714,"Wt1"
"MA1650.2",13.9383325795866,0.0811655906970557,"ZBTB14"
